Fra;Til;KWH 60 Forbruk
09.10.2019 09:00;09.10.2019 10:00;1,33
09.10.2019 10:00;09.10.2019 11:00;1,419
09.10.2019 11:00;09.10.2019 12:00;1,315
09.10.2019 12:00;09.10.2019 13:00;1,462
09.10.2019 13:00;09.10.2019 14:00;2,13
09.10.2019 14:00;09.10.2019 15:00;1,429
09.10.2019 15:00;09.10.2019 16:00;1,341
09.10.2019 16:00;09.10.2019 17:00;1,457
09.10.2019 17:00;09.10.2019 18:00;2,216
09.10.2019 18:00;09.10.2019 19:00;1,493
09.10.2019 19:00;09.10.2019 20:00;1,428
09.10.2019 20:00;09.10.2019 21:00;1,558
09.10.2019 21:00;09.10.2019 22:00;3,902
09.10.2019 22:00;09.10.2019 23:00;2,191
09.10.2019 23:00;10.10.2019 00:00;1,262
10.10.2019 00:00;10.10.2019 01:00;1,325
10.10.2019 01:00;10.10.2019 02:00;1,318
10.10.2019 02:00;10.10.2019 03:00;0,959
10.10.2019 03:00;10.10.2019 04:00;1,286
10.10.2019 04:00;10.10.2019 05:00;1,332
10.10.2019 05:00;10.10.2019 06:00;1,279
10.10.2019 06:00;10.10.2019 07:00;1,639
10.10.2019 07:00;10.10.2019 08:00;1,15
10.10.2019 08:00;10.10.2019 09:00;1,007
10.10.2019 09:00;10.10.2019 10:00;0,965
10.10.2019 10:00;10.10.2019 11:00;2,291
10.10.2019 11:00;10.10.2019 12:00;3,53
10.10.2019 12:00;10.10.2019 13:00;2,539
10.10.2019 13:00;10.10.2019 14:00;1,149
10.10.2019 14:00;10.10.2019 15:00;1,144
10.10.2019 15:00;10.10.2019 16:00;1,108
10.10.2019 16:00;10.10.2019 17:00;2,809
10.10.2019 17:00;10.10.2019 18:00;1,33
10.10.2019 18:00;10.10.2019 19:00;1,305
10.10.2019 19:00;10.10.2019 20:00;1,288
10.10.2019 20:00;10.10.2019 21:00;1,063
10.10.2019 21:00;10.10.2019 22:00;1,25
10.10.2019 22:00;10.10.2019 23:00;1,163
10.10.2019 23:00;11.10.2019 00:00;0,725
11.10.2019 00:00;11.10.2019 01:00;1,678
11.10.2019 01:00;11.10.2019 02:00;0,839
11.10.2019 02:00;11.10.2019 03:00;0,683
11.10.2019 03:00;11.10.2019 04:00;0,958
11.10.2019 04:00;11.10.2019 05:00;0,942
11.10.2019 05:00;11.10.2019 06:00;0,821
11.10.2019 06:00;11.10.2019 07:00;0,931
11.10.2019 07:00;11.10.2019 08:00;1,224
11.10.2019 08:00;11.10.2019 09:00;1,674
11.10.2019 09:00;11.10.2019 10:00;1,028
11.10.2019 10:00;11.10.2019 11:00;0,899
11.10.2019 11:00;11.10.2019 12:00;0,785
11.10.2019 12:00;11.10.2019 13:00;1,042
11.10.2019 13:00;11.10.2019 14:00;1,095
11.10.2019 14:00;11.10.2019 15:00;0,928
11.10.2019 15:00;11.10.2019 16:00;0,784
11.10.2019 16:00;11.10.2019 17:00;1,016
11.10.2019 17:00;11.10.2019 18:00;1,473
11.10.2019 18:00;11.10.2019 19:00;3,115
11.10.2019 19:00;11.10.2019 20:00;1,385
11.10.2019 20:00;11.10.2019 21:00;2,281
11.10.2019 21:00;11.10.2019 22:00;0,946
11.10.2019 22:00;11.10.2019 23:00;1,034
11.10.2019 23:00;12.10.2019 00:00;1,002
12.10.2019 00:00;12.10.2019 01:00;0,878
12.10.2019 01:00;12.10.2019 02:00;1,94
12.10.2019 02:00;12.10.2019 03:00;1,017
12.10.2019 03:00;12.10.2019 04:00;1,062
12.10.2019 04:00;12.10.2019 05:00;0,777
12.10.2019 05:00;12.10.2019 06:00;0,985
12.10.2019 06:00;12.10.2019 07:00;1,031
12.10.2019 07:00;12.10.2019 08:00;1,302
12.10.2019 08:00;12.10.2019 09:00;2,369
12.10.2019 09:00;12.10.2019 10:00;1,306
12.10.2019 10:00;12.10.2019 11:00;2,645
12.10.2019 11:00;12.10.2019 12:00;1,113
12.10.2019 12:00;12.10.2019 13:00;2,09
12.10.2019 13:00;12.10.2019 14:00;0,751
12.10.2019 14:00;12.10.2019 15:00;0,451
12.10.2019 15:00;12.10.2019 16:00;0,586
12.10.2019 16:00;12.10.2019 17:00;1,106
12.10.2019 17:00;12.10.2019 18:00;1,666
12.10.2019 18:00;12.10.2019 19:00;4,704
12.10.2019 19:00;12.10.2019 20:00;2,847
12.10.2019 20:00;12.10.2019 21:00;1,75
12.10.2019 21:00;12.10.2019 22:00;0,985
12.10.2019 22:00;12.10.2019 23:00;1,161
12.10.2019 23:00;13.10.2019 00:00;1,233
13.10.2019 00:00;13.10.2019 01:00;1,279
13.10.2019 01:00;13.10.2019 02:00;0,433
13.10.2019 02:00;13.10.2019 03:00;0,733
13.10.2019 03:00;13.10.2019 04:00;0,791
13.10.2019 04:00;13.10.2019 05:00;0,766
13.10.2019 05:00;13.10.2019 06:00;0,483
13.10.2019 06:00;13.10.2019 07:00;0,958
13.10.2019 07:00;13.10.2019 08:00;1,179
13.10.2019 08:00;13.10.2019 09:00;2,147
13.10.2019 09:00;13.10.2019 10:00;1,063
13.10.2019 10:00;13.10.2019 11:00;0,811
13.10.2019 11:00;13.10.2019 12:00;0,536
13.10.2019 12:00;13.10.2019 13:00;0,667
13.10.2019 13:00;13.10.2019 14:00;0,588
13.10.2019 14:00;13.10.2019 15:00;2,455
13.10.2019 15:00;13.10.2019 16:00;0,842
13.10.2019 16:00;13.10.2019 17:00;2,486
13.10.2019 17:00;13.10.2019 18:00;1,526
13.10.2019 18:00;13.10.2019 19:00;0,9
13.10.2019 19:00;13.10.2019 20:00;0,978
13.10.2019 20:00;13.10.2019 21:00;1,437
13.10.2019 21:00;13.10.2019 22:00;0,938
13.10.2019 22:00;13.10.2019 23:00;0,773
13.10.2019 23:00;14.10.2019 00:00;1,273
14.10.2019 00:00;14.10.2019 01:00;0,614
14.10.2019 01:00;14.10.2019 02:00;0,611
14.10.2019 02:00;14.10.2019 03:00;0,583
14.10.2019 03:00;14.10.2019 04:00;0,687
14.10.2019 04:00;14.10.2019 05:00;0,709
14.10.2019 05:00;14.10.2019 06:00;0,78
14.10.2019 06:00;14.10.2019 07:00;1,128
14.10.2019 07:00;14.10.2019 08:00;1,495
14.10.2019 08:00;14.10.2019 09:00;0,783
14.10.2019 09:00;14.10.2019 10:00;0,85
14.10.2019 10:00;14.10.2019 11:00;0,692
14.10.2019 11:00;14.10.2019 12:00;0,759
14.10.2019 12:00;14.10.2019 13:00;0,733
14.10.2019 13:00;14.10.2019 14:00;1,655
14.10.2019 14:00;14.10.2019 15:00;0,645
14.10.2019 15:00;14.10.2019 16:00;0,539
14.10.2019 16:00;14.10.2019 17:00;0,738
14.10.2019 17:00;14.10.2019 18:00;1,881
14.10.2019 18:00;14.10.2019 19:00;1,546
14.10.2019 19:00;14.10.2019 20:00;1,976
14.10.2019 20:00;14.10.2019 21:00;1,295
14.10.2019 21:00;14.10.2019 22:00;1,233
14.10.2019 22:00;14.10.2019 23:00;0,993
14.10.2019 23:00;15.10.2019 00:00;0,722
15.10.2019 00:00;15.10.2019 01:00;0,837
15.10.2019 01:00;15.10.2019 02:00;0,834
15.10.2019 02:00;15.10.2019 03:00;0,818
15.10.2019 03:00;15.10.2019 04:00;1,487
15.10.2019 04:00;15.10.2019 05:00;1,07
15.10.2019 05:00;15.10.2019 06:00;0,9
15.10.2019 06:00;15.10.2019 07:00;0,979
15.10.2019 07:00;15.10.2019 08:00;1,241
15.10.2019 08:00;15.10.2019 09:00;0,988
15.10.2019 09:00;15.10.2019 10:00;0,897
15.10.2019 10:00;15.10.2019 11:00;1,009
15.10.2019 11:00;15.10.2019 12:00;0,975
15.10.2019 12:00;15.10.2019 13:00;1,409
15.10.2019 13:00;15.10.2019 14:00;1,19
15.10.2019 14:00;15.10.2019 15:00;1,014
15.10.2019 15:00;15.10.2019 16:00;0,984
15.10.2019 16:00;15.10.2019 17:00;1,481
15.10.2019 17:00;15.10.2019 18:00;1,327
15.10.2019 18:00;15.10.2019 19:00;1,507
15.10.2019 19:00;15.10.2019 20:00;2,537
15.10.2019 20:00;15.10.2019 21:00;2,171
15.10.2019 21:00;15.10.2019 22:00;2,887
15.10.2019 22:00;15.10.2019 23:00;1
15.10.2019 23:00;16.10.2019 00:00;0,965
16.10.2019 00:00;16.10.2019 01:00;0,836
16.10.2019 01:00;16.10.2019 02:00;0,953
16.10.2019 02:00;16.10.2019 03:00;0,986
16.10.2019 03:00;16.10.2019 04:00;0,896
16.10.2019 04:00;16.10.2019 05:00;0,982
16.10.2019 05:00;16.10.2019 06:00;1,751
16.10.2019 06:00;16.10.2019 07:00;1,089
16.10.2019 07:00;16.10.2019 08:00;1,361
