Fra;Til;KWH 60 Forbruk
12.12.2019 04:00;12.12.2019 05:00;1,616
12.12.2019 05:00;12.12.2019 06:00;1,655
12.12.2019 06:00;12.12.2019 07:00;1,55
12.12.2019 07:00;12.12.2019 08:00;2,522
12.12.2019 08:00;12.12.2019 09:00;1,532
12.12.2019 09:00;12.12.2019 10:00;1,617
12.12.2019 10:00;12.12.2019 11:00;1,61
12.12.2019 11:00;12.12.2019 12:00;1,602
12.12.2019 12:00;12.12.2019 13:00;1,695
12.12.2019 13:00;12.12.2019 14:00;1,639
12.12.2019 14:00;12.12.2019 15:00;1,495
12.12.2019 15:00;12.12.2019 16:00;1,498
12.12.2019 16:00;12.12.2019 17:00;2,095
12.12.2019 17:00;12.12.2019 18:00;4,515
12.12.2019 18:00;12.12.2019 19:00;2,55
12.12.2019 19:00;12.12.2019 20:00;4,732
12.12.2019 20:00;12.12.2019 21:00;2,479
12.12.2019 21:00;12.12.2019 22:00;1,878
12.12.2019 22:00;12.12.2019 23:00;1,314
12.12.2019 23:00;13.12.2019 00:00;1,452
13.12.2019 00:00;13.12.2019 01:00;1,386
13.12.2019 01:00;13.12.2019 02:00;1,496
13.12.2019 02:00;13.12.2019 03:00;2,574
13.12.2019 03:00;13.12.2019 04:00;1,595
13.12.2019 04:00;13.12.2019 05:00;1,512
13.12.2019 05:00;13.12.2019 06:00;1,43
13.12.2019 06:00;13.12.2019 07:00;1,658
13.12.2019 07:00;13.12.2019 08:00;1,627
13.12.2019 08:00;13.12.2019 09:00;1,684
13.12.2019 09:00;13.12.2019 10:00;2,616
13.12.2019 10:00;13.12.2019 11:00;1,636
13.12.2019 11:00;13.12.2019 12:00;1,548
13.12.2019 12:00;13.12.2019 13:00;1,529
13.12.2019 13:00;13.12.2019 14:00;1,662
13.12.2019 14:00;13.12.2019 15:00;1,617
13.12.2019 15:00;13.12.2019 16:00;1,723
13.12.2019 16:00;13.12.2019 17:00;1,869
13.12.2019 17:00;13.12.2019 18:00;4,041
13.12.2019 18:00;13.12.2019 19:00;2,411
13.12.2019 19:00;13.12.2019 20:00;2,06
13.12.2019 20:00;13.12.2019 21:00;2
13.12.2019 21:00;13.12.2019 22:00;1,924
13.12.2019 22:00;13.12.2019 23:00;2,773
13.12.2019 23:00;14.12.2019 00:00;1,7
14.12.2019 00:00;14.12.2019 01:00;1,626
14.12.2019 01:00;14.12.2019 02:00;1,564
14.12.2019 02:00;14.12.2019 03:00;1,58
14.12.2019 03:00;14.12.2019 04:00;1,659
14.12.2019 04:00;14.12.2019 05:00;1,558
14.12.2019 05:00;14.12.2019 06:00;1,555
14.12.2019 06:00;14.12.2019 07:00;1,872
14.12.2019 07:00;14.12.2019 08:00;3,186
14.12.2019 08:00;14.12.2019 09:00;2,212
14.12.2019 09:00;14.12.2019 10:00;2,4
14.12.2019 10:00;14.12.2019 11:00;3,034
14.12.2019 11:00;14.12.2019 12:00;2,28
14.12.2019 12:00;14.12.2019 13:00;1,247
14.12.2019 13:00;14.12.2019 14:00;1,428
14.12.2019 14:00;14.12.2019 15:00;1,464
14.12.2019 15:00;14.12.2019 16:00;2,042
14.12.2019 16:00;14.12.2019 17:00;2,158
14.12.2019 17:00;14.12.2019 18:00;3,16
14.12.2019 18:00;14.12.2019 19:00;1,956
14.12.2019 19:00;14.12.2019 20:00;3,348
